id,title,release_date,runtime,production_countries,overview,cast,crew,,,,,,,
2759,The Astronaut Farmer,15/10/2006,104,United States of America,"Texan Charles Farmer left the Air Force as a young man to save the family ranch when his dad died. Like most American ranchers, he owes his bank. Unlike most, he's an astrophysicist with a rocket in his barn - one he's built and wants to take into space. It's his dream. The FBI puts him under surveillance when he tries to buy rocket fuel, and the FAA stalls him when he files a flight plan – but Charles is undeterred.","Billy Bob Thornton,Virginia Madsen,Max Thieriot,Jasper Polish,Logan Polish","Director:  Michael Polish , Screenwriter:  Mark Polish,Screenwriter:  Michael Polish , Producer:  Paula Weinstein,Producer:  Mark Polish,Producer:  Michael Polish,Producer:  Len Amato,Producer:  Robert Benjamin,Producer:  Jonathan Sheldon",,,,,,,
2760,Woo,08/05/1998,84,United States of America,Gorgeous and extraverted Woo meets insecure and straight-laced law clerk Tim at a blind date.,"Jada Pinkett Smith,Tommy Davidson,Duane Martin,Michael Ralph,Darrel Heath","Director:  Daisy von Scherler Mayer , Screenwriter:   , Producer:  ",,,,,,,
2761,Room,16/10/2015,117,"Canada,Ireland",Jack is a young boy of 5 years old who has lived all his life in one room. He believes everything within it are the only real things in the world. But what will happen when his Ma suddenly tells him that there are other things outside of Room?,"Brie Larson,Jacob Tremblay,Joan Allen,Sean Bridgers,William H. Macy","Director:  Lenny Abrahamson , Screenwriter:  Emma Donoghue , Producer:  Ed Guiney,Producer:  David Gross",,,,,,,
2762,Dirty Work,12/06/1998,82,"Canada,United States of America","Unemployed and recently dumped, Mitch and his buddy Sam start a revenge-for-hire business to raise the $50,000 that Sam's father needs to get a heart transplant. The dirty duo brings down a movie theater manager and hires hookers to pose as dead bodies during a live TV ad. When a wealthy developer hires the guys to trash a building (so that he can have it condemned), problems arise and a feud ensues.","Norm Macdonald,Artie Lange,Jack Warden,Traylor Howard,Don Rickles","Director:  Bob Saget , Screenwriter:   , Producer:  ",,,,,,,
2763,Serial Mom,13/04/1994,95,United States of America,"A picture perfect middle class family is shocked when they find out that one of their neighbors is receiving obscene phone calls. The mom takes slights against her family very personally, and it turns out she is indeed the one harassing the neighbor. As other slights befall her beloved family, the body count begins to increase.","Kathleen Turner,Sam Waterston,Ricki Lake,Matthew Lillard,Traci Lords","Director:  John Waters , Screenwriter:   , Producer:  John Fiedler",,,,,,,
2764,Dick,04/08/1999,94,"Canada,France,United States of America","Comedy about two high school girls who wander off during a class trip to the White House and meet President Richard Nixon. They become the official dog walkers for Nixon's dog Checkers, and become his secret advisors during the Watergate scandal.","Kirsten Dunst,Michelle Williams,Will Ferrell,Dan Hedaya,Bruce McCulloch","Director:  Andrew Fleming , Screenwriter:  Andrew Fleming,Screenwriter:  Sheryl Longin , Producer:  Gale Anne Hurd",,,,,,,
2765,Light It Up,04/11/1999,99,United States of America,"On a winter day in a southside Queens high school, events collide and six students are suddenly in an armed standoff with the NYPD. At the school, classrooms freeze, teachers come and go, resources are scant.","Usher Raymond,Vanessa Williams,Forest Whitaker,Rosario Dawson,Robert Ri'chard","Director:  Craig Bolotin , Screenwriter:   , Producer:  ",,,,,,,
2766,54,28/08/1998,106,United States of America,"Shane, a Jersey boy with big dreams, crosses the river in hopes of finding a more exciting life at Studio 54. When Steve Rubell, the mastermind behind the infamous disco, plucks Shane from the sea of faces clamoring to get inside his club, Shane not only gets his foot in the door, but lands a coveted job behind the bar – and a front-row seat at the most legendary party on the planet.","Ryan Phillippe,Salma Hayek,Breckin Meyer,Mike Myers,Neve Campbell","Director:  Mark Christopher , Screenwriter:   , Producer:  Richard N. Gladstein,Producer:  Ira Deutchman,Producer:  Dolly Hall",,,,,,,
2767,Bubble Boy,24/08/2001,84,United States of America,"Jimmy is young man who was born without an immune system and has lived his life within a plastic bubble in his bedroom... who pines for the sweet caresses of girl-next-door Chloe. But when Chloe decides to marry her high school boyfriend, Jimmy -- bubble suit and all -- treks cross-country to stop her. Swoosie Kurtz, as Jimmy's overprotective mom, co-stars along with Fabio, who portrays the leader of a religious cult.","Jake Gyllenhaal,Swoosie Kurtz,Marley Shelton,Danny Trejo,John Carroll Lynch","Director:  Blair Hayes , Screenwriter:   , Producer:  Beau Flynn",,,,,,,
2768,Birthday Girl,06/09/2001,93,"United Kingdom,United States of America","A shy bank clerk orders a Russian mail order bride, and finds his life turned upside down.","Nicole Kidman,Ben Chaplin,Vincent Cassel,Mathieu Kassovitz,Kate Lynn Evans","Director:  Jez Butterworth , Screenwriter:  Jez Butterworth,Screenwriter:  Tom Butterworth , Producer:  Steve Butterworth,Producer:  Diana Phillips",,,,,,,
2769,21 & Over,01/03/2013,93,United States of America,"Brilliant student Jeff Chang has the most important interview of his life tomorrow.  But today is still his birthday, what starts off as a casual celebration with friends evolves into a night of debauchery that risks to derail his life plan.","Miles Teller,Skylar Astin,Justin Chon,Sarah Wright,Jonathan Keltz","Director:  Jon Lucas,Director:  Scott Moore , Screenwriter:  Jon Lucas , Producer:  David Hoberman,Producer:  Ryan Kavanaugh,Producer:  Todd Lieberman,Producer:  Hugo Shong",,,,,,,
2770,"Paris, je t'aime",16/05/2006,120,France,"Olivier Assayas, Gus Van Sant, Wes Craven and Alfonso Cuaron are among the 20 distinguished directors who contribute to this collection of 18 stories, each exploring a different aspect of Parisian life. The colourful characters in this drama include a pair of mimes, a husband trying to chose between his wife and his lover, and a married man who turns to a prostitute for advice.","Steve Buscemi,Natalie Portman,Willem Dafoe,Maggie Gyllenhaal,Axel Kiener","Director:  Isabel Coixet,Director:  Christopher Doyle,Director:  Tom Tykwer,Director:  Joel Coen,Director:  Ethan Coen,Director:  Richard LaGravenese,Director:  Wes Craven,Director:  Gus Van Sant,Director:  Vincenzo Natali,Director:  Gurinder Chadha,Director:  Walter Salles,Director:  Alfonso Cuar\u00f3n,Director:  Alexander Payne,Director:  G\u00e9rard Depardieu,Director:  Sylvain Chomet,Director:  Bruno Podalyd\u00e8s,Director:  Fr\u00e9d\u00e9ric Auburtin,Director:  Olivier Assayas,Director:  Nobuhiro Suwa,Director:  Oliver Schmitz,Director:  Daniela Thomas , Screenwriter:   , Producer:  Claudie Ossard,Producer:  Emmanuel Benbihy",,,,,,,
2771,Resurrecting the Champ,14/06/2007,112,United States of America,"Up-and-coming sports reporter rescues a homeless man (""Champ"") only to discover that he is, in fact, a boxing legend believed to have passed away. What begins as an opportunity to resurrect Champ's story and escape the shadow of his father's success becomes a personal journey as the ambitious reporter reexamines his own life and his relationship with his family.","Samuel L. Jackson,Josh Hartnett,Alan Alda,Teri Hatcher,Kathryn Morris","Director:  Rod Lurie , Screenwriter:  Allison Burnett,Screenwriter:  Michael Bortman , Producer:  Bob Yari,Producer:  Mike Medavoy,Producer:  Rod Lurie,Producer:  Marc Frydman",,,,,,,
2772,Admission,21/03/2013,107,United States of America,"Strait-laced Princeton University admissions officer Portia Nathan is caught off-guard when she makes a recruiting visit to an alternative high school overseen by her former college classmate, the freewheeling John Pressman. Pressman has surmised that Jeremiah, his gifted yet very unconventional student, might well be the son that Portia secretly gave up for adoption many years ago. Soon, Portia finds herself bending the rules for Jeremiah, putting at risk the life she thought she always wanted – but in the process finding her way to a surprising and exhilarating life and romance she never dreamed of having.","Tina Fey,Paul Rudd,Michael Sheen,Lily Tomlin,Wallace Shawn","Director:  Paul Weitz , Screenwriter:  Karen Croner , Producer:  Paul Weitz,Producer:  Andrew Miano,Producer:  Kerry Kohansky",,,,,,,
2773,The Widow of Saint-Pierre,01/01/2000,112,"France,Canada","In 1850, on the isolated French island of Saint-Pierre, a murder shocks the natives. Two fishermen are arrested. One of them, Louis Ollivier, dies in custody. The other, Neel Auguste, is sentenced to death by the guillotine. The island is so small that it has neither a guillotine nor an executioner. While those are sent for Auguste is placed under the supervision of army Captain.","Daniel Auteuil,Emir Kusturica,Juliette Binoche,Michel Duchaussoy,Philippe Magnan","Director:  Patrice Leconte , Screenwriter:   , Producer:  ",,,,,,,
2774,Chloe,25/03/2009,96,"France,United States of America,Canada","A doctor hires an escort to seduce her husband, whom she suspects of cheating, though unforeseen events put the family in danger.","Julianne Moore,Liam Neeson,Amanda Seyfried,Max Thieriot,R. H. Thomson","Director:  Atom Egoyan , Screenwriter:  Erin Cressida Wilson , Producer:  Ivan Reitman,Producer:  Simone Urdl,Producer:  Jennifer Weiss,Producer:  Joe Medjuck,Producer:  Erin Cressida Wilson,Producer:  Jeffrey Clifford,Producer:  Ali Bell",,,,,,,
2775,Faithful,03/04/1996,91,United States of America,"A depressed housewife whose husband is having an affair contemplates suicide, but changes her mind when she faces death by a killer hired to do her in.","Cher,Chazz Palminteri,Ryan O'Neal,Paul Mazursky,Amber Smith","Director:  Paul Mazursky , Screenwriter:  Chazz Palminteri , Producer:  Robert De Niro",,,,,,,
2776,Find Me Guilty,16/03/2006,125,"Germany,United States of America","Based on the true story of Jack DiNorscio, a mobster who defended himself in court for what would be the longest mafia trial in U.S. history.","Vin Diesel,Alex Rocco,Frank Pietrangolare,Richard DeDomenico,Paul Borghese","Director:  Sidney Lumet , Screenwriter:  Sidney Lumet,Screenwriter:  T.J. Mancini,Screenwriter:  Robert J. McCrea , Producer:  Robert Greenhut,Producer:  Bob Yari,Producer:  Rita Branch,Producer:  Robert Katz,Producer:  T.J. Mancini,Producer:  Bob DeBrino,Producer:  Ernst-August Schnieder,Producer:  Frank Digiacomo,Producer:  Wolfgang Schamburg,Producer:  Roger Zamudio",,,,,,,
2777,The Perks of Being a Wallflower,20/09/2012,102,United States of America,"A coming-of-age story based on the best-selling novel by Stephen Chbosky, which follows 15-year-old freshman Charlie, an endearing and naive outsider who is taken under the wings of two seniors. A moving tale of love, loss, fear and hope - and the unforgettable friends that help us through life.","Logan Lerman,Emma Watson,Ezra Miller,Paul Rudd,Nina Dobrev","Director:  Stephen Chbosky , Screenwriter:  Stephen Chbosky , Producer:  John Malkovich,Producer:  Lianne Halfon,Producer:  Russell Smith",,,,,,,
2778,Excessive Force,14/05/1993,87,United States of America,"Chicago policeman Terry McCain is determined to put away mobster Sal DiMarco, who always gets acquitted on technicalities. While monitoring a drug sale, a shootout ensues, and one of Terry's fellow officers gets away with $3 million of Sal's money. Suspecting Terry took the cash, the mobster sends his men to kill Terry's brother, Dylan, and partner, Frankie Hawkins. Furious, Terry sets out to take his revenge by any means necessary.","Thomas Ian Griffith,Lance Henriksen,James Earl Jones,Burt Young,Tony Todd","Director:  Jon Hess , Screenwriter:   , Producer:  ",,,,,,,
2779,Infamous,16/11/2006,110,United States of America,"While researching his book In Cold Blood, writer Truman Capote develops a close relationship with convicted murderers Dick Hickock and Perry Smith.","Sigourney Weaver,Toby Jones,Gwyneth Paltrow,Sandra Bullock,Isabella Rossellini","Director:  Douglas McGrath , Screenwriter:  Douglas McGrath , Producer:  Anne Walker-McBay,Producer:  Christine Vachon,Producer:  Jocelyn Hayes",,,,,,,
2780,The Claim,29/12/2000,120,"United Kingdom,Canada,France","A prospector sells his wife and daughter to another gold miner for the rights to a gold mine. Twenty years later, the prospector is a wealthy man who owns much of the old west town named Kingdom Come. But changes are brewing and his past is coming back to haunt him. A surveyor and his crew scouts the town as a location for a new railroad line and a young woman suddenly appears in the town and is evidently the man's daughter.","Peter Mullan,Milla Jovovich,Wes Bentley,Nastassja Kinski,Sarah Polley","Director:  Michael Winterbottom , Screenwriter:  Frank Cottrell Boyce , Producer:  Andrew Eaton",,,,,,,
